Wavelength			HighTension			
300.0			-4.14957E+00			
299.0			-4.15277E+00			
298.0			-4.15323E+00			
297.0			-4.15487E+00			
296.0			-4.15557E+00			
295.0			-4.15580E+00			
294.0			-4.15407E+00			
293.0			-4.15140E+00			
292.0			-4.14703E+00			
291.0			-4.14680E+00			
290.0			-4.14813E+00			
289.0			-4.14970E+00			
288.0			-4.15343E+00			
287.0			-4.15403E+00			
286.0			-4.15557E+00			
285.0			-4.15477E+00			
284.0			-4.15470E+00			
283.0			-4.15630E+00			
282.0			-4.15883E+00			
281.0			-4.16007E+00			
280.0			-4.16280E+00			
279.0			-4.16553E+00			
278.0			-4.16880E+00			
277.0			-4.17400E+00			
276.0			-4.17480E+00			
275.0			-4.17570E+00			
274.0			-4.17790E+00			
273.0			-4.17850E+00			
272.0			-4.17980E+00			
271.0			-4.18100E+00			
270.0			-4.18070E+00			
269.0			-4.18143E+00			
268.0			-4.18060E+00			
267.0			-4.17980E+00			
266.0			-4.17967E+00			
265.0			-4.17910E+00			
264.0			-4.18070E+00			
263.0			-4.17970E+00			
262.0			-4.17930E+00			
261.0			-4.17297E+00			
260.0			-4.17013E+00			
259.0			-4.16657E+00			
258.0			-4.16523E+00			
257.0			-4.16240E+00			
256.0			-4.15903E+00			
255.0			-4.15660E+00			
254.0			-4.15107E+00			
253.0			-4.14723E+00			
252.0			-4.14113E+00			
251.0			-4.13607E+00			
250.0			-4.13033E+00			
249.0			-4.12233E+00			
248.0			-4.11450E+00			
247.0			-4.10633E+00			
246.0			-4.09483E+00			
245.0			-4.07807E+00			
244.0			-4.06730E+00			
243.0			-4.05853E+00			
242.0			-4.04743E+00			
241.0			-4.03573E+00			
240.0			-4.01990E+00			
239.0			-4.00197E+00			
238.0			-3.98110E+00			
237.0			-3.95720E+00			
236.0			-3.92913E+00			
235.0			-3.89863E+00			
234.0			-3.86597E+00			
233.0			-3.83160E+00			
232.0			-3.79300E+00			
231.0			-3.75500E+00			
230.0			-3.72040E+00			
229.0			-3.67817E+00			
228.0			-3.63750E+00			
227.0			-3.59560E+00			
226.0			-3.55400E+00			
225.0			-3.51633E+00			
224.0			-3.47950E+00			
223.0			-3.44493E+00			
222.0			-3.41137E+00			
221.0			-3.37800E+00			
220.0			-3.34613E+00			
219.0			-3.31033E+00			
218.0			-3.27577E+00			
217.0			-3.23957E+00			
216.0			-3.20110E+00			
215.0			-3.15817E+00			
214.0			-3.10840E+00			
213.0			-3.05367E+00			
212.0			-2.99410E+00			
211.0			-2.92757E+00			
210.0			-2.85177E+00			
209.0			-2.76153E+00			
208.0			-2.65290E+00			
207.0			-2.53090E+00			
206.0			-2.38260E+00			
205.0			-2.21100E+00			
204.0			-2.01377E+00			
203.0			-1.79850E+00			
202.0			-1.56973E+00			
201.0			-1.32343E+00			
200.0			-1.06669E+00			
199.0			-7.99257E-01			
198.0			-5.26937E-01			
197.0			-2.58793E-01			
196.0			-1.52590E-02			
195.0			2.00703E-01			
194.0			3.74860E-01			
193.0			5.11983E-01			
192.0			5.98857E-01			
191.0			6.40663E-01			
190.0			6.38633E-01			
189.0			5.88990E-01			
188.0			5.03237E-01			
187.0			3.87370E-01			
186.0			2.52280E-01			
185.0			1.14235E-01			
184.0			-2.27840E-02			
183.0			-1.40582E-01			
182.0			-2.33459E-01			
181.0			-2.88793E-01			
180.0			-2.92867E-01			
179.0			-2.34273E-01			
178.0			-1.20239E-01			
177.0			5.42193E-02			
176.0			2.93273E-01			
175.0			6.50530E-01			
174.0			1.22633E+00			
173.0			2.17530E+00			
172.0			3.67310E+00			
171.0			5.51363E+00			
170.0			5.53640E+00			
169.0			5.53270E+00			
168.0			5.53120E+00			
300.0			-4.14957E+00			
299.0			-4.15277E+00			
298.0			-4.15323E+00			
297.0			-4.15487E+00			
296.0			-4.15557E+00			
295.0			-4.15580E+00			
294.0			-4.15407E+00			
293.0			-4.15140E+00			
292.0			-4.14703E+00			
291.0			-4.14680E+00			
290.0			-4.14813E+00			
289.0			-4.14970E+00			
288.0			-4.15343E+00			
287.0			-4.15403E+00			
286.0			-4.15557E+00			
284.0			-4.15470E+00			
283.0			-4.15630E+00			
282.0			-4.15883E+00			
281.0			-4.16007E+00			
280.0			-4.16280E+00			
279.0			-4.16553E+00			
278.0			-4.16880E+00			
277.0			-4.17400E+00			
276.0			-4.17480E+00			
275.0			-4.17570E+00			
274.0			-4.17790E+00			
273.0			-4.17850E+00			
272.0			-4.17980E+00			
271.0			-4.18100E+00			
270.0			-4.18070E+00			
269.0			-4.18143E+00			
268.0			-4.18060E+00			
267.0			-4.17980E+00			
266.0			-4.17967E+00			
265.0			-4.17910E+00			
264.0			-4.18070E+00			
263.0			-4.17970E+00			
262.0			-4.17930E+00			
261.0			-4.17297E+00			
